species,tribe,body_PC1,body_PC2,LPJ_PC1,LPJ_PC2,UOJ_PC1,UOJ_PC2,d13C,d15N
Neogra,lampr,0.0173018637147085,-0.00940883301230757,0.0631685937305177,0.0110402162879944,0.0104667926226997,0.00413260460584648,-21.644027489,6.0029050259
NeogrM,lampr,0.0236369752611695,0.00839693743724061,0.0652790453796601,-0.0159367811154556,0.00863436521240198,0.000701411039592268,-21.669567528,6.0699608841
Neohel,lampr,0.00205193012486243,-0.0160437097407978,0.0426831853110579,0.0329960647185139,0.0136199863422775,0.00319241304205285,-18.000200594,6.4257712925
Neokom,lampr,-0.00818651419229888,-0.0208053206612629,0.0295661326284137,0.0173917949791315,0.01616796913246,-0.00332621877442501,-19.258700529,6.4938277293
Neolap,lampr,0.0372626545226605,-0.0106225281383879,0.0137555074227918,0.0290477048463748,0.00467440223630741,-0.00642228848272294,-18.162904517,6.4223330713
NeoleL,lampr,0.0116015752521037,0.0131317075795856,0.043325080845385,0.0224548296005652,0.0153008718239617,0.000690033987200557,-19.695867492,5.9272585848
Neoleu,lampr,0.0388936305934141,0.0144019476304218,0.0568965246552699,0.0178496313483224,0.0203074731228738,0.00347005409447631,-19.792161841,6.2119835138
Neolou,lampr,0.0317737824367493,0.00216408310391179,0.0178333811744442,0.0555819852310947,0.00567164933161425,0.000840364666058357,-22.136469992,5.3186838433
Neomar,lampr,-0.0200732967867992,-0.00591970441319121,0.0768014632389823,-0.0673724030978514,0.00266499069951368,0.00424461065389945,-19.756466423,5.4212877379
Neomee,lampr,0.0111891289431451,-0.0129846262110155,0.00522248420280256,0.0865954768599368,0.00119462271834809,-0.00993283227584929,-19.600006023,6.9298780935
Neomod,lampr,-0.011239276145935,0.0111011411783318,0.110312353725871,-0.0270438077993678,0.003616446840255,0.00148364289499905,-14.158588293,7.2949915633
Neomon,lampr,0.0124644109691975,0.0175735595680174,0.0899885542207271,0.00505330374641622,0.00444647116357027,0.00533115731659068,-15.898229463,6.9737368979
Neomul,lampr,0.00535679915140621,-0.0260462661824558,0.025375488533652,0.0650964669885889,0.00889943101270104,-0.0120190018688181,-24.118217743,5.784079369
